Year,GEO,Age.group,Sex,Income.source,VALUE
1980,Canada,Total age group,Both sexes,Employment income,34900
1981,Canada,Total age group,Both sexes,Employment income,34300
1982,Canada,Total age group,Both sexes,Employment income,32200
1983,Canada,Total age group,Both sexes,Employment income,31000
1984,Canada,Total age group,Both sexes,Employment income,31300
1985,Canada,Total age group,Both sexes,Employment income,31800
1986,Canada,Total age group,Both sexes,Employment income,32500
1987,Canada,Total age group,Both sexes,Employment income,33100
1988,Canada,Total age group,Both sexes,Employment income,33700
1989,Canada,Total age group,Both sexes,Employment income,34600
1990,Canada,Total age group,Both sexes,Employment income,32300
1991,Canada,Total age group,Both sexes,Employment income,31400
1992,Canada,Total age group,Both sexes,Employment income,31200
1993,Canada,Total age group,Both sexes,Employment income,31200
1994,Canada,Total age group,Both sexes,Employment income,31100
1995,Canada,Total age group,Both sexes,Employment income,31100
1996,Canada,Total age group,Both sexes,Employment income,31100
1997,Canada,Total age group,Both sexes,Employment income,31600
1998,Canada,Total age group,Both sexes,Employment income,31900
1999,Canada,Total age group,Both sexes,Employment income,32300
2000,Canada,Total age group,Both sexes,Employment income,32800
2001,Canada,Total age group,Both sexes,Employment income,32300
2002,Canada,Total age group,Both sexes,Employment income,32500
2003,Canada,Total age group,Both sexes,Employment income,31800
2004,Canada,Total age group,Both sexes,Employment income,31800
2005,Canada,Total age group,Both sexes,Employment income,32800
2006,Canada,Total age group,Both sexes,Employment income,32800
2007,Canada,Total age group,Both sexes,Employment income,33300
2008,Canada,Total age group,Both sexes,Employment income,34500
2009,Canada,Total age group,Both sexes,Employment income,33600
2010,Canada,Total age group,Both sexes,Employment income,33300
2011,Canada,Total age group,Both sexes,Employment income,33400
2012,Canada,Total age group,Both sexes,Employment income,34000
2013,Canada,Total age group,Both sexes,Employment income,34500
2014,Canada,Total age group,Both sexes,Employment income,35000
2015,Canada,Total age group,Both sexes,Employment income,34900
2016,Canada,Total age group,Both sexes,Employment income,34600
2017,Canada,Total age group,Both sexes,Employment income,34900
2018,Canada,Total age group,Both sexes,Employment income,35600
1976,Canada,Total age group,Both sexes,"Wages, salaries and commissions",35900
1977,Canada,Total age group,Both sexes,"Wages, salaries and commissions",35700
1978,Canada,Total age group,Both sexes,"Wages, salaries and commissions",35800
1979,Canada,Total age group,Both sexes,"Wages, salaries and commissions",35600
1980,Canada,Total age group,Both sexes,"Wages, salaries and commissions",35500
1981,Canada,Total age group,Both sexes,"Wages, salaries and commissions",34800
1982,Canada,Total age group,Both sexes,"Wages, salaries and commissions",33000
1983,Canada,Total age group,Both sexes,"Wages, salaries and commissions",32100
1984,Canada,Total age group,Both sexes,"Wages, salaries and commissions",32200
1985,Canada,Total age group,Both sexes,"Wages, salaries and commissions",32200
1986,Canada,Total age group,Both sexes,"Wages, salaries and commissions",32900
1987,Canada,Total age group,Both sexes,"Wages, salaries and commissions",33400
1988,Canada,Total age group,Both sexes,"Wages, salaries and commissions",34100
1989,Canada,Total age group,Both sexes,"Wages, salaries and commissions",35200
1990,Canada,Total age group,Both sexes,"Wages, salaries and commissions",33300
1991,Canada,Total age group,Both sexes,"Wages, salaries and commissions",32200
1992,Canada,Total age group,Both sexes,"Wages, salaries and commissions",31800
1993,Canada,Total age group,Both sexes,"Wages, salaries and commissions",31500
1994,Canada,Total age group,Both sexes,"Wages, salaries and commissions",32400
1995,Canada,Total age group,Both sexes,"Wages, salaries and commissions",32100
1996,Canada,Total age group,Both sexes,"Wages, salaries and commissions",32700
1997,Canada,Total age group,Both sexes,"Wages, salaries and commissions",32700
1998,Canada,Total age group,Both sexes,"Wages, salaries and commissions",33400
1999,Canada,Total age group,Both sexes,"Wages, salaries and commissions",34100
2000,Canada,Total age group,Both sexes,"Wages, salaries and commissions",34500
2001,Canada,Total age group,Both sexes,"Wages, salaries and commissions",34100
2002,Canada,Total age group,Both sexes,"Wages, salaries and commissions",33600
2003,Canada,Total age group,Both sexes,"Wages, salaries and commissions",33300
2004,Canada,Total age group,Both sexes,"Wages, salaries and commissions",33200
2005,Canada,Total age group,Both sexes,"Wages, salaries and commissions",34300
2006,Canada,Total age group,Both sexes,"Wages, salaries and commissions",34400
2007,Canada,Total age group,Both sexes,"Wages, salaries and commissions",34900
2008,Canada,Total age group,Both sexes,"Wages, salaries and commissions",35400
2009,Canada,Total age group,Both sexes,"Wages, salaries and commissions",35100
2010,Canada,Total age group,Both sexes,"Wages, salaries and commissions",35100
2011,Canada,Total age group,Both sexes,"Wages, salaries and commissions",35600
2012,Canada,Total age group,Both sexes,"Wages, salaries and commissions",36000
2013,Canada,Total age group,Both sexes,"Wages, salaries and commissions",36400
2014,Canada,Total age group,Both sexes,"Wages, salaries and commissions",36800
2015,Canada,Total age group,Both sexes,"Wages, salaries and commissions",36600
2016,Canada,Total age group,Both sexes,"Wages, salaries and commissions",36700
2017,Canada,Total age group,Both sexes,"Wages, salaries and commissions",37000
2018,Canada,Total age group,Both sexes,"Wages, salaries and commissions",37400
1976,Canada,Total age group,Both sexes,Self-employment income,17800
1977,Canada,Total age group,Both sexes,Self-employment income,13000
1978,Canada,Total age group,Both sexes,Self-employment income,14600
1979,Canada,Total age group,Both sexes,Self-employment income,12900
1980,Canada,Total age group,Both sexes,Self-employment income,11600
1981,Canada,Total age group,Both sexes,Self-employment income,12800
1982,Canada,Total age group,Both sexes,Self-employment income,10400
1983,Canada,Total age group,Both sexes,Self-employment income,11500
1984,Canada,Total age group,Both sexes,Self-employment income,9500
1985,Canada,Total age group,Both sexes,Self-employment income,10600
1986,Canada,Total age group,Both sexes,Self-employment income,11400
1987,Canada,Total age group,Both sexes,Self-employment income,13600
1988,Canada,Total age group,Both sexes,Self-employment income,11200
1989,Canada,Total age group,Both sexes,Self-employment income,12300
1990,Canada,Total age group,Both sexes,Self-employment income,11400
1991,Canada,Total age group,Both sexes,Self-employment income,11300
1992,Canada,Total age group,Both sexes,Self-employment income,9600
1993,Canada,Total age group,Both sexes,Self-employment income,11500
1994,Canada,Total age group,Both sexes,Self-employment income,11300
1995,Canada,Total age group,Both sexes,Self-employment income,11400
1996,Canada,Total age group,Both sexes,Self-employment income,9800
1997,Canada,Total age group,Both sexes,Self-employment income,10600
1998,Canada,Total age group,Both sexes,Self-employment income,7800
1999,Canada,Total age group,Both sexes,Self-employment income,9500
2000,Canada,Total age group,Both sexes,Self-employment income,9400
2001,Canada,Total age group,Both sexes,Self-employment income,9100
2002,Canada,Total age group,Both sexes,Self-employment income,9900
2003,Canada,Total age group,Both sexes,Self-employment income,9000
2004,Canada,Total age group,Both sexes,Self-employment income,9100
2005,Canada,Total age group,Both sexes,Self-employment income,9800
2006,Canada,Total age group,Both sexes,Self-employment income,7500
2007,Canada,Total age group,Both sexes,Self-employment income,8600
2008,Canada,Total age group,Both sexes,Self-employment income,9900
2009,Canada,Total age group,Both sexes,Self-employment income,9300
2010,Canada,Total age group,Both sexes,Self-employment income,8500
2011,Canada,Total age group,Both sexes,Self-employment income,8600
2012,Canada,Total age group,Both sexes,Self-employment income,8200
2013,Canada,Total age group,Both sexes,Self-employment income,7700
2014,Canada,Total age group,Both sexes,Self-employment income,8900
2015,Canada,Total age group,Both sexes,Self-employment income,8000
2016,Canada,Total age group,Both sexes,Self-employment income,8300
2017,Canada,Total age group,Both sexes,Self-employment income,7400
2018,Canada,Total age group,Both sexes,Self-employment income,6600
1976,Canada,Total age group,Both sexes,Government transfers,4700
1977,Canada,Total age group,Both sexes,Government transfers,4900
1978,Canada,Total age group,Both sexes,Government transfers,5300
1979,Canada,Total age group,Both sexes,Government transfers,4600
1980,Canada,Total age group,Both sexes,Government transfers,3200
1981,Canada,Total age group,Both sexes,Government transfers,3000
1982,Canada,Total age group,Both sexes,Government transfers,3900
1983,Canada,Total age group,Both sexes,Government transfers,4600
1984,Canada,Total age group,Both sexes,Government transfers,4400
1985,Canada,Total age group,Both sexes,Government transfers,4200
1986,Canada,Total age group,Both sexes,Government transfers,4400
1987,Canada,Total age group,Both sexes,Government transfers,2800
1988,Canada,Total age group,Both sexes,Government transfers,3300
1989,Canada,Total age group,Both sexes,Government transfers,3300
1990,Canada,Total age group,Both sexes,Government transfers,3400
1991,Canada,Total age group,Both sexes,Government transfers,4300
1992,Canada,Total age group,Both sexes,Government transfers,4600
1993,Canada,Total age group,Both sexes,Government transfers,5500
1994,Canada,Total age group,Both sexes,Government transfers,5400
1995,Canada,Total age group,Both sexes,Government transfers,4600
1996,Canada,Total age group,Both sexes,Government transfers,4700
1997,Canada,Total age group,Both sexes,Government transfers,4500
1998,Canada,Total age group,Both sexes,Government transfers,4700
1999,Canada,Total age group,Both sexes,Government transfers,4300
2000,Canada,Total age group,Both sexes,Government transfers,3600
2001,Canada,Total age group,Both sexes,Government transfers,4100
2002,Canada,Total age group,Both sexes,Government transfers,4800
2003,Canada,Total age group,Both sexes,Government transfers,4700
2004,Canada,Total age group,Both sexes,Government transfers,4600
2005,Canada,Total age group,Both sexes,Government transfers,4500
2006,Canada,Total age group,Both sexes,Government transfers,3600
2007,Canada,Total age group,Both sexes,Government transfers,4800
2008,Canada,Total age group,Both sexes,Government transfers,3800
2009,Canada,Total age group,Both sexes,Government transfers,5700
2010,Canada,Total age group,Both sexes,Government transfers,4200
2011,Canada,Total age group,Both sexes,Government transfers,4100
2012,Canada,Total age group,Both sexes,Government transfers,5500
2013,Canada,Total age group,Both sexes,Government transfers,5600
2014,Canada,Total age group,Both sexes,Government transfers,6000
2015,Canada,Total age group,Both sexes,Government transfers,5500
2016,Canada,Total age group,Both sexes,Government transfers,6200
2017,Canada,Total age group,Both sexes,Government transfers,7500
2018,Canada,Total age group,Both sexes,Government transfers,4600
1976,Canada,Total age group,Males,Total income,47300
1977,Canada,Total age group,Males,Total income,47000
1978,Canada,Total age group,Males,Total income,47100
1979,Canada,Total age group,Males,Total income,46200
1980,Canada,Total age group,Males,Total income,47300
1981,Canada,Total age group,Males,Total income,45400
1982,Canada,Total age group,Males,Total income,42500
1983,Canada,Total age group,Males,Total income,41300
1984,Canada,Total age group,Males,Total income,40200
1985,Canada,Total age group,Males,Total income,41100
1986,Canada,Total age group,Males,Total income,41400
1987,Canada,Total age group,Males,Total income,41800
1988,Canada,Total age group,Males,Total income,43200
1989,Canada,Total age group,Males,Total income,43900
1990,Canada,Total age group,Males,Total income,42500
1991,Canada,Total age group,Males,Total income,40000
1992,Canada,Total age group,Males,Total income,39200
1993,Canada,Total age group,Males,Total income,37800
1994,Canada,Total age group,Males,Total income,38500
1995,Canada,Total age group,Males,Total income,38100
1996,Canada,Total age group,Males,Total income,37600
1997,Canada,Total age group,Males,Total income,37300
1998,Canada,Total age group,Males,Total income,38100
1999,Canada,Total age group,Males,Total income,39700
2000,Canada,Total age group,Males,Total income,40100
2001,Canada,Total age group,Males,Total income,40300
2002,Canada,Total age group,Males,Total income,40100
2003,Canada,Total age group,Males,Total income,39800
2004,Canada,Total age group,Males,Total income,40700
2005,Canada,Total age group,Males,Total income,40300
2006,Canada,Total age group,Males,Total income,40400
2007,Canada,Total age group,Males,Total income,40900
2008,Canada,Total age group,Males,Total income,41500
2009,Canada,Total age group,Males,Total income,40500
2010,Canada,Total age group,Males,Total income,40200
2011,Canada,Total age group,Males,Total income,40800
2012,Canada,Total age group,Males,Total income,42200
2013,Canada,Total age group,Males,Total income,41800
2014,Canada,Total age group,Males,Total income,42600
2015,Canada,Total age group,Males,Total income,42100
2016,Canada,Total age group,Males,Total income,41600
2017,Canada,Total age group,Males,Total income,42800
2018,Canada,Total age group,Males,Total income,43100
1976,Canada,Total age group,Males,Market income,47300
1977,Canada,Total age group,Males,Market income,47400
1978,Canada,Total age group,Males,Market income,47100
1979,Canada,Total age group,Males,Market income,46600
1980,Canada,Total age group,Males,Market income,46800
1981,Canada,Total age group,Males,Market income,45300
1982,Canada,Total age group,Males,Market income,41700
1983,Canada,Total age group,Males,Market income,40700
1984,Canada,Total age group,Males,Market income,39600
1985,Canada,Total age group,Males,Market income,40300
1986,Canada,Total age group,Males,Market income,40700
1987,Canada,Total age group,Males,Market income,41000
1988,Canada,Total age group,Males,Market income,42400
1989,Canada,Total age group,Males,Market income,42800
1990,Canada,Total age group,Males,Market income,40600
1991,Canada,Total age group,Males,Market income,38200
1992,Canada,Total age group,Males,Market income,37100
1993,Canada,Total age group,Males,Market income,35900
1994,Canada,Total age group,Males,Market income,37400
1995,Canada,Total age group,Males,Market income,37100
1996,Canada,Total age group,Males,Market income,37000
1997,Canada,Total age group,Males,Market income,36900
1998,Canada,Total age group,Males,Market income,37600
1999,Canada,Total age group,Males,Market income,39000
2000,Canada,Total age group,Males,Market income,39400
2001,Canada,Total age group,Males,Market income,39300
2002,Canada,Total age group,Males,Market income,39200
2003,Canada,Total age group,Males,Market income,38900
2004,Canada,Total age group,Males,Market income,39100
2005,Canada,Total age group,Males,Market income,39500
2006,Canada,Total age group,Males,Market income,39100
2007,Canada,Total age group,Males,Market income,39600
2008,Canada,Total age group,Males,Market income,40900
2009,Canada,Total age group,Males,Market income,39100
2010,Canada,Total age group,Males,Market income,38900
2011,Canada,Total age group,Males,Market income,39700
2012,Canada,Total age group,Males,Market income,41000
2013,Canada,Total age group,Males,Market income,40300
2014,Canada,Total age group,Males,Market income,41500
2015,Canada,Total age group,Males,Market income,41200
2016,Canada,Total age group,Males,Market income,40900
2017,Canada,Total age group,Males,Market income,41600
2018,Canada,Total age group,Males,Market income,41800
1976,Canada,Total age group,Males,Employment income,49000
1977,Canada,Total age group,Males,Employment income,48200
1978,Canada,Total age group,Males,Employment income,48300
1979,Canada,Total age group,Males,Employment income,47400
1980,Canada,Total age group,Males,Employment income,48000
1981,Canada,Total age group,Males,Employment income,46300
1982,Canada,Total age group,Males,Employment income,43400
1983,Canada,Total age group,Males,Employment income,42500
1984,Canada,Total age group,Males,Employment income,42300
1985,Canada,Total age group,Males,Employment income,42300
1986,Canada,Total age group,Males,Employment income,43400
1987,Canada,Total age group,Males,Employment income,43600
1988,Canada,Total age group,Males,Employment income,45200
1989,Canada,Total age group,Males,Employment income,44600
1990,Canada,Total age group,Males,Employment income,42500
1991,Canada,Total age group,Males,Employment income,40500
1992,Canada,Total age group,Males,Employment income,39700
1993,Canada,Total age group,Males,Employment income,39000
1994,Canada,Total age group,Males,Employment income,40500
1995,Canada,Total age group,Males,Employment income,39700
1996,Canada,Total age group,Males,Employment income,39600
1997,Canada,Total age group,Males,Employment income,40000
1998,Canada,Total age group,Males,Employment income,40100
1999,Canada,Total age group,Males,Employment income,41100
2000,Canada,Total age group,Males,Employment income,41700
2001,Canada,Total age group,Males,Employment income,40800
2002,Canada,Total age group,Males,Employment income,40400
2003,Canada,Total age group,Males,Employment income,40200
2004,Canada,Total age group,Males,Employment income,40200
2005,Canada,Total age group,Males,Employment income,40800
2006,Canada,Total age group,Males,Employment income,40300
2007,Canada,Total age group,Males,Employment income,40800
2008,Canada,Total age group,Males,Employment income,42200
2009,Canada,Total age group,Males,Employment income,40300
2010,Canada,Total age group,Males,Employment income,40100
2011,Canada,Total age group,Males,Employment income,40500
2012,Canada,Total age group,Males,Employment income,42000
2013,Canada,Total age group,Males,Employment income,40700
2014,Canada,Total age group,Males,Employment income,41500
2015,Canada,Total age group,Males,Employment income,41900
2016,Canada,Total age group,Males,Employment income,41600
2017,Canada,Total age group,Males,Employment income,41600
2018,Canada,Total age group,Males,Employment income,42000
1976,Canada,Total age group,Males,"Wages, salaries and commissions",49300
1977,Canada,Total age group,Males,"Wages, salaries and commissions",48800
1978,Canada,Total age group,Males,"Wages, salaries and commissions",49200
1979,Canada,Total age group,Males,"Wages, salaries and commissions",48100
1980,Canada,Total age group,Males,"Wages, salaries and commissions",49000
1981,Canada,Total age group,Males,"Wages, salaries and commissions",47200
1982,Canada,Total age group,Males,"Wages, salaries and commissions",44100
1983,Canada,Total age group,Males,"Wages, salaries and commissions",43600
1984,Canada,Total age group,Males,"Wages, salaries and commissions",43800
1985,Canada,Total age group,Males,"Wages, salaries and commissions",43900
1986,Canada,Total age group,Males,"Wages, salaries and commissions",44700
1987,Canada,Total age group,Males,"Wages, salaries and commissions",44800
1988,Canada,Total age group,Males,"Wages, salaries and commissions",46500
1989,Canada,Total age group,Males,"Wages, salaries and commissions",45900
1990,Canada,Total age group,Males,"Wages, salaries and commissions",44100
1991,Canada,Total age group,Males,"Wages, salaries and commissions",42500
1992,Canada,Total age group,Males,"Wages, salaries and commissions",41500
1993,Canada,Total age group,Males,"Wages, salaries and commissions",41600
1994,Canada,Total age group,Males,"Wages, salaries and commissions",42300
1995,Canada,Total age group,Males,"Wages, salaries and commissions",41900
1996,Canada,Total age group,Males,"Wages, salaries and commissions",42000
1997,Canada,Total age group,Males,"Wages, salaries and commissions",42800
1998,Canada,Total age group,Males,"Wages, salaries and commissions",43100
1999,Canada,Total age group,Males,"Wages, salaries and commissions",43500
2000,Canada,Total age group,Males,"Wages, salaries and commissions",44500
2001,Canada,Total age group,Males,"Wages, salaries and commissions",42900
2002,Canada,Total age group,Males,"Wages, salaries and commissions",42600
2003,Canada,Total age group,Males,"Wages, salaries and commissions",42500
2004,Canada,Total age group,Males,"Wages, salaries and commissions",42400
2005,Canada,Total age group,Males,"Wages, salaries and commissions",42900
2006,Canada,Total age group,Males,"Wages, salaries and commissions",42800
2007,Canada,Total age group,Males,"Wages, salaries and commissions",43100
2008,Canada,Total age group,Males,"Wages, salaries and commissions",44400
2009,Canada,Total age group,Males,"Wages, salaries and commissions",42000
2010,Canada,Total age group,Males,"Wages, salaries and commissions",42500
2011,Canada,Total age group,Males,"Wages, salaries and commissions",42900
2012,Canada,Total age group,Males,"Wages, salaries and commissions",44900
2013,Canada,Total age group,Males,"Wages, salaries and commissions",43300
2014,Canada,Total age group,Males,"Wages, salaries and commissions",44100
2015,Canada,Total age group,Males,"Wages, salaries and commissions",44200
2016,Canada,Total age group,Males,"Wages, salaries and commissions",44300
2017,Canada,Total age group,Males,"Wages, salaries and commissions",43700
2018,Canada,Total age group,Males,"Wages, salaries and commissions",44500
1976,Canada,Total age group,Males,Self-employment income,22900
1977,Canada,Total age group,Males,Self-employment income,17300
1978,Canada,Total age group,Males,Self-employment income,18200
1979,Canada,Total age group,Males,Self-employment income,16700
1980,Canada,Total age group,Males,Self-employment income,15500
1981,Canada,Total age group,Males,Self-employment income,17700
1982,Canada,Total age group,Males,Self-employment income,14500
1983,Canada,Total age group,Males,Self-employment income,18400
1984,Canada,Total age group,Males,Self-employment income,13900
1985,Canada,Total age group,Males,Self-employment income,16700
1986,Canada,Total age group,Males,Self-employment income,15800
1987,Canada,Total age group,Males,Self-employment income,17600
1988,Canada,Total age group,Males,Self-employment income,15400
1989,Canada,Total age group,Males,Self-employment income,17700
1990,Canada,Total age group,Males,Self-employment income,15600
1991,Canada,Total age group,Males,Self-employment income,14400
1992,Canada,Total age group,Males,Self-employment income,12900
1993,Canada,Total age group,Males,Self-employment income,14000
1994,Canada,Total age group,Males,Self-employment income,15600
1995,Canada,Total age group,Males,Self-employment income,15200
1996,Canada,Total age group,Males,Self-employment income,13100
1997,Canada,Total age group,Males,Self-employment income,13600
1998,Canada,Total age group,Males,Self-employment income,9500
1999,Canada,Total age group,Males,Self-employment income,11500
2000,Canada,Total age group,Males,Self-employment income,11300
2001,Canada,Total age group,Males,Self-employment income,10400
2002,Canada,Total age group,Males,Self-employment income,12000
2003,Canada,Total age group,Males,Self-employment income,10100
2004,Canada,Total age group,Males,Self-employment income,10200
2005,Canada,Total age group,Males,Self-employment income,11500
2006,Canada,Total age group,Males,Self-employment income,9300
2007,Canada,Total age group,Males,Self-employment income,10100
2008,Canada,Total age group,Males,Self-employment income,11700
2009,Canada,Total age group,Males,Self-employment income,11200
2010,Canada,Total age group,Males,Self-employment income,9400
2011,Canada,Total age group,Males,Self-employment income,10600
2012,Canada,Total age group,Males,Self-employment income,9200
2013,Canada,Total age group,Males,Self-employment income,9000
2014,Canada,Total age group,Males,Self-employment income,10700
2015,Canada,Total age group,Males,Self-employment income,10400
2016,Canada,Total age group,Males,Self-employment income,10700
2017,Canada,Total age group,Males,Self-employment income,8700
2018,Canada,Total age group,Males,Self-employment income,7500
1976,Canada,Total age group,Males,Government transfers,3400
1977,Canada,Total age group,Males,Government transfers,3400
1978,Canada,Total age group,Males,Government transfers,3600
1979,Canada,Total age group,Males,Government transfers,2700
1980,Canada,Total age group,Males,Government transfers,2700
1981,Canada,Total age group,Males,Government transfers,2600
1982,Canada,Total age group,Males,Government transfers,3400
1983,Canada,Total age group,Males,Government transfers,3900
1984,Canada,Total age group,Males,Government transfers,3600
1985,Canada,Total age group,Males,Government transfers,3300
1986,Canada,Total age group,Males,Government transfers,3400
1987,Canada,Total age group,Males,Government transfers,2200
1988,Canada,Total age group,Males,Government transfers,2200
1989,Canada,Total age group,Males,Government transfers,2400
1990,Canada,Total age group,Males,Government transfers,2500
1991,Canada,Total age group,Males,Government transfers,3400
1992,Canada,Total age group,Males,Government transfers,3600
1993,Canada,Total age group,Males,Government transfers,5900
1994,Canada,Total age group,Males,Government transfers,5400
1995,Canada,Total age group,Males,Government transfers,4400
1996,Canada,Total age group,Males,Government transfers,4400
1997,Canada,Total age group,Males,Government transfers,4600
1998,Canada,Total age group,Males,Government transfers,4600
1999,Canada,Total age group,Males,Government transfers,3400
2000,Canada,Total age group,Males,Government transfers,2100
2001,Canada,Total age group,Males,Government transfers,2600
2002,Canada,Total age group,Males,Government transfers,4100
2003,Canada,Total age group,Males,Government transfers,3900
2004,Canada,Total age group,Males,Government transfers,3900
2005,Canada,Total age group,Males,Government transfers,3400
2006,Canada,Total age group,Males,Government transfers,1500
2007,Canada,Total age group,Males,Government transfers,3300
2008,Canada,Total age group,Males,Government transfers,2200
2009,Canada,Total age group,Males,Government transfers,4900
2010,Canada,Total age group,Males,Government transfers,2600
2011,Canada,Total age group,Males,Government transfers,2300
2012,Canada,Total age group,Males,Government transfers,4200
2013,Canada,Total age group,Males,Government transfers,4600
2014,Canada,Total age group,Males,Government transfers,4400
2015,Canada,Total age group,Males,Government transfers,3700
2016,Canada,Total age group,Males,Government transfers,3400
2017,Canada,Total age group,Males,Government transfers,5800
2018,Canada,Total age group,Males,Government transfers,2000
1976,Canada,Total age group,Females,Total income,17200
1977,Canada,Total age group,Females,Total income,18600
1978,Canada,Total age group,Females,Total income,19100
1979,Canada,Total age group,Females,Total income,18800
1980,Canada,Total age group,Females,Total income,19200
1981,Canada,Total age group,Females,Total income,19800
1982,Canada,Total age group,Females,Total income,19600
1983,Canada,Total age group,Females,Total income,18500
1984,Canada,Total age group,Females,Total income,19700
1985,Canada,Total age group,Females,Total income,20100
1986,Canada,Total age group,Females,Total income,20800
1987,Canada,Total age group,Females,Total income,21200
1988,Canada,Total age group,Females,Total income,21700
1989,Canada,Total age group,Females,Total income,23300
1990,Canada,Total age group,Females,Total income,22500
1991,Canada,Total age group,Females,Total income,22000
1992,Canada,Total age group,Females,Total income,22200
1993,Canada,Total age group,Females,Total income,22100
1994,Canada,Total age group,Females,Total income,22000
1995,Canada,Total age group,Females,Total income,22100
1996,Canada,Total age group,Females,Total income,21300
1997,Canada,Total age group,Females,Total income,21400
1998,Canada,Total age group,Females,Total income,21500
1999,Canada,Total age group,Females,Total income,22600
